# key	thai
BusinessSpeak.Talk.30151101	แค่ก... ฉันต้องการเลือด... เอาไปรักษาแผล...
BusinessSpeak.Talk.30151102	จ่ายพลังชีวิต 5 แลกชิ้นส่วนอาวุธ 1 ชิ้น
BusinessSpeak.Talk.30151103	จ่ายพลังชีวิต 20 แลกชิ้นส่วนอาวุธ อาวุธ และเรลิค อย่างละ 1
BusinessSpeak.Talk.30151104	ปฏิเสธการแลกเปลี่ยน
BusinessSpeak.Talk.30151105	โอ้ รอดแล้ว... ขอพักหายใจอีกหน่อย...
BusinessSpeak.Talk.30151106	ขอบใจ ฉันจะทำให้พวกแม่มดชดใช้ให้ได้!
BusinessSpeak.Talk.30151107	แบ่งเลือดให้มากกว่านี้ไม่ได้แล้วเหรอ?
BusinessSpeak.Talk.30151108	ไม่เป็นไร ฉันยังทนได้อีกสักพัก...
BusinessSpeak.Talk.30151201	แบ่งเลือดให้ฉันหน่อย เดี๋ยวมีของตอบแทน
BusinessSpeak.Talk.30151202	จ่ายพลังชีวิต 5 แลกเรลิค 1 ชิ้น
BusinessSpeak.Talk.30151203	จ่ายพลังชีวิต 20 แลกเรลิค 3 ชิ้น
BusinessSpeak.Talk.30151204	ปฏิเสธการแลกเปลี่ยน
BusinessSpeak.Talk.30151205	หวังว่าอันนี้จะช่วยเธอได้นะ
BusinessSpeak.Talk.30151206	หวังว่าพวกนี้จะช่วยเธอได้นะ
BusinessSpeak.Talk.30151207	สงสัยดวงฉันจะซวยเกินไป...
BusinessSpeak.Talk.30152101	ดูจากชุดแล้ว เธอก็เป็นนักล่าสินะ ข้างหน้าอันตรายสุด ๆ ถ้ายังรักชีวิตก็รีบกลับไปซะ
BusinessSpeak.Talk.30152102	ชวนเอเลนาไปด้วยกัน
BusinessSpeak.Talk.30152103	ตอนนี้จับมือกันไว้ก็ดีที่สุดแหละ แต่อย่ามาถ่วงฉันล่ะ
BusinessSpeak.Talk.30153101	แค่ก... แบ่งเลือดให้หน่อย นักล่า
BusinessSpeak.Talk.30153102	จ่ายพลังชีวิต 5 แลกชิ้นส่วนอาวุธ 1 ชิ้น
BusinessSpeak.Talk.30153103	จ่ายพลังชีวิต 20 แลกชิ้นส่วนอาวุธ อาวุธ และเรลิค อย่างละ 1
BusinessSpeak.Talk.30153104	ปฏิเสธการแลกเปลี่ยน
BusinessSpeak.Talk.30153105	ขอแสงศักดิ์สิทธิ์อวยพรเธอ
BusinessSpeak.Talk.30153106	เธอต้องเป็นคนที่พระเจ้าส่งมาช่วยฉันแน่ ๆ
BusinessSpeak.Talk.30153107	งั้นเหรอ
BusinessSpeak.Talk.30153108	สงสัยวันนี้ฉันจะตายด้วยมือคนนอกรีตแล้วสินะ
BusinessSpeak.Talk.30153201	ผู้ศรัทธาในพระเจ้า ช่วยฉันด้วย
BusinessSpeak.Talk.30153202	จ่ายพลังชีวิต 5 แลกเรลิค 1 ชิ้น
BusinessSpeak.Talk.30153203	จ่ายพลังชีวิต 20 แลกเรลิค 3 ชิ้น
BusinessSpeak.Talk.30153204	ปฏิเสธการแลกเปลี่ยน
BusinessSpeak.Talk.30153205	เธอคือผู้ศรัทธาที่แท้จริงของพระเจ้า
BusinessSpeak.Talk.30153206	ขอให้เธอนำความพินาศไปสู่พวกนอกรีต
BusinessSpeak.Talk.30153207	พระเจ้า... ไม่มองฉันอีกแล้วหรือ...
BusinessSpeak.Talk.30181101	อยากฟื้นสภาพหน่อยไหม?
BusinessSpeak.Talk.30181102	(พันผ้าพันแผล) ฟื้นพลังชีวิต 30
BusinessSpeak.Talk.30181103	(ดื่มยา) พลังชีวิตสูงสุด +10
BusinessSpeak.Talk.30221101	เจ้าปลาซิว~ ~ มาเล่นเกมกันหน่อยไหม? แพ้แล้วต้องมาเป็นหมาน้อยของฉันนะ~
BusinessSpeak.Talk.30221102	โอ๊ะยะ! อย่ามาดูถูกฉันนะ!
BusinessSpeak.Talk.30221103	โอ๊ะยะ! อย่ามาดูถูกฉันนะ!
BusinessSpeak.Talk.30221104	โอ๊ะยะ! อย่ามาดูถูกฉันนะ!
BusinessSpeak.Talk.30221105	โอ๊ะยะ! อย่ามาดูถูกฉันนะ!
BusinessSpeak.Talk.30221106	โอ๊ะยะ! อย่ามาดูถูกฉันนะ!
BusinessSpeak.Talk.30221107	ช่างเถอะ ไว้คราวหน้าแล้วกัน
BusinessSpeak.Talk.30221108	แค่นี้ก็กลัวแล้วเหรอ?
BusinessSpeak.Talk.30221201	น่าโมโห ยังสู้นักล่าไม่ได้อีกเหรอ?
BusinessSpeak.Talk.30221202	แค่นี้? แค่นี้เหรอ??
BusinessSpeak.Talk.30221203	คอยดูนะ คราวหน้าจะเหยียบเธอไว้ใต้เท้าให้ได้!
BusinessSpeak.Talk.30231101	จะเปิดหีบสมบัติไหม? ดูเหมือนจะล่ออสูรประหลาดมาด้วย
BusinessSpeak.Talk.30231102	ช่างมัน เปิดก่อนแล้วค่อยว่ากัน
BusinessSpeak.Talk.30231103	ช่างมัน เปิดก่อนแล้วค่อยว่ากัน
BusinessSpeak.Talk.30231104	ช่างมัน เปิดก่อนแล้วค่อยว่ากัน
BusinessSpeak.Talk.30231105	ช่างมัน เปิดก่อนแล้วค่อยว่ากัน
BusinessSpeak.Talk.30231106	ช่างมัน เปิดก่อนแล้วค่อยว่ากัน
BusinessSpeak.Talk.30231107	ช่างเถอะ ไว้คราวหน้าแล้วกัน
BusinessSpeak.Talk.30241101	ฉันโดนอสูรไล่ล่า ช่วยฉันได้ไหม?
BusinessSpeak.Talk.30241102	ฉันพร้อมแล้ว
BusinessSpeak.Talk.30241103	ฉันพร้อมแล้ว
BusinessSpeak.Talk.30241104	ฉันพร้อมแล้ว
BusinessSpeak.Talk.30241105	ฉันพร้อมแล้ว
BusinessSpeak.Talk.30241106	ฉันพร้อมแล้ว
BusinessSpeak.Talk.30241107	ช่างเถอะ ไว้คราวหน้าแล้วกัน
BusinessSpeak.Talk.30251101	จั่วไพ่สักใบสิ
BusinessSpeak.Talk.30251102	เปิดเผยโชคชะตา
BusinessSpeak.Talk.30251103	ดูเหมือนเธอยังไม่ใช่คนที่แบกโชคชะตาไว้ ไว้มีวาสนาค่อยเจอกันใหม่
BusinessSpeak.Talk.30251104	เธอจั่วได้ "คนโง่" สัญลักษณ์ของการเริ่มออกเดินทาง... บูตเก่าคู่นี้ยกให้ ขอให้ทางข้างหน้าขรุขระน้อยลง
BusinessSpeak.Talk.30251105	เธอจั่วได้ "นักมายากล" วังวนของความคิดที่พันกัน... หมวกทรงสูงใบนี้มีวาสนากับเธอ รับไปเถอะ
BusinessSpeak.Talk.30251106	เธอจั่วได้ "นักบวชหญิง" รอยประทับของเสียงสะท้อนจากห้วงลึก... ถือพวงมาลัยนี้ไว้ให้ดี อาจช่วยปัดเป่าเคราะห์ร้ายให้เธอได้
BusinessSpeak.Talk.30251107	เธอจั่วได้ "จักรพรรดินี" ภาพฉายของความเป็นแม่ที่อุดมสมบูรณ์... ขอให้หีบใบนี้มอบความอุดมสมบูรณ์แก่เธอ
