# key	thai
Item.Name.31	เรลิคปริศนา
Item.Name.32	ไพ่ทาโรต์ปริศนา
Item.Name.33	เรลิคมหากาพย์ปริศนา
Item.Name.34	เรลิคตำนานปริศนา
Item.Name.35	อาวุธปริศนา
Item.Name.36	ชิ้นส่วนอาวุธปริศนา
Item.Name.37	อาวุธมหากาพย์ปริศนา
Item.Name.38	อาวุธตำนานปริศนา
Item.Name.39	ชิ้นส่วนมหากาพย์ปริศนา
Item.Name.40	ชิ้นส่วนตำนานปริศนา
Item.Name.7001	ยาฟื้นพลัง
Item.Name.7002	ยาฟื้นพลังขั้นสูง
Item.Name.7101	ยาอัตรายิง
Item.Name.7102	ยารีโหลด
Item.Name.7103	ยาเกราะ
Item.Name.7104	ยาเสือชีตาห์
Item.Name.7105	ยาอัตราคริติคอล
Item.Name.7106	ยาความเสียหายคริติคอล
Item.Name.7107	ยาความเสียหายสุดท้าย
Item.Name.7108	ยาทุบหนัก
Item.Name.7109	ยาไมดาส
Item.Name.7110	ยาลูกกระสุน
Item.Name.7111	ยาเถ้าเพลิง
Item.Name.7112	ยาเติบโต
Item.Name.7113	ยากายภาพ
Item.Name.7114	ยาเยือกแข็ง
Item.Name.7115	ยาสายฟ้า
Item.Name.7116	ยากรด
Item.Name.7117	ยาเพลิง
Item.Name.7201	ยาสมปรารถนา
Item.Name.7202	ยาสมปรารถนา
Item.Name.7203	ยาสมปรารถนา
Item.Name.7301	ยาไมดาสชั้นต่ำ
Item.Name.7302	ยาไมดาสชั้นดี
Item.Name.7303	ยาไมดาสตำนาน
Item.Name.7304	ยาหายาก
Item.Name.7305	ยามหากาพย์
Item.Name.7306	ยาตำนาน
Item.Name.7307	ยาร่างจำลอง
Item.Name.7308	ยากลายหิน
Item.Name.7309	ยาแม่มด
Item.Name.7310	ยาสำรวจ
Item.Name.7311	ยากลืนกลาย
Item.Name.7312	ยาธาตุ
Item.Name.7313	ยาห้าสี
Item.Name.7314	ค้อนตำนาน
Item.Name.7315	ยาเรลิคสุ่ม
Item.Name.7316	ยาเรลิคกายภาพ
Item.Name.7317	ยาเรลิคเยือกแข็ง
Item.Name.7318	ยาเรลิคสายฟ้า
Item.Name.7319	ยาเรลิคกรด
Item.Name.7320	ยาเรลิคเพลิง
Item.Name.7321	ยาเรลิคทั่วไป
Item.Introduce.31	เลือกเรลิค 1 ชิ้น
Item.Introduce.32	เลือกไพ่ทาโรต์ 1 ใบ
Item.Introduce.33	เลือกเรลิค<color=#b41cf4>มหากาพย์</color> 1 ชิ้น
Item.Introduce.34	เลือกเรลิค<color=#f4a51c>ตำนาน</color> 1 ชิ้น
Item.Introduce.35	เลือกอาวุธ 1 ชิ้น
Item.Introduce.36	เลือกชิ้นส่วนอาวุธ 1 ชิ้น
