# key	thai
MapId.Name.10101	ค่ายชั่วคราว
MapId.Name.10201	ป่าลมทะเล
MapId.Name.10301	ป่าลมทะเล
MapId.Name.10302	ป่าลมทะเล
MapId.Name.10401	ป่าลมทะเล
MapId.Name.10402	ป่าลมทะเล
MapId.Name.10501	ป่าลมทะเล
MapId.Name.10502	ป่าลมทะเล
MapId.Name.10601	ทางเข้าหมู่บ้านลมทะเล
MapId.Name.10701	หมู่บ้านลมทะเล
MapId.Name.10801	หมู่บ้านลมทะเล
MapId.Name.10802	หมู่บ้านลมทะเล
MapId.Name.10901	หมู่บ้านลมทะเล
MapId.Name.10902	หมู่บ้านลมทะเล
MapId.Name.11001	หมู่บ้านลมทะเล
MapId.Name.11002	หมู่บ้านลมทะเล
MapId.Name.11101	หมู่บ้านลมทะเล
MapId.Name.11102	หมู่บ้านลมทะเล
MapId.Name.11201	สี่แยก
MapId.Name.11301	สะพานประตูเมือง
MapId.Name.20101	ถนนราชา
MapId.Name.20201	ย่านที่พักเมืองล่าง
MapId.Name.20301	ย่านที่พักเมืองล่าง
MapId.Name.20302	ย่านที่พักเมืองล่าง
MapId.Name.20401	ย่านที่พักเมืองล่าง
MapId.Name.20402	ย่านที่พักเมืองล่าง
MapId.Name.20501	ย่านที่พักเมืองล่าง
MapId.Name.20502	ย่านที่พักเมืองล่าง
MapId.Name.20601	ทางเข้าย่านการค้า
MapId.Name.20701	ถนนการค้า
MapId.Name.20801	ย่านการค้าท่าเรือ
MapId.Name.20802	ย่านการค้าท่าเรือ
MapId.Name.20901	ย่านการค้าท่าเรือ
MapId.Name.20902	ย่านการค้าท่าเรือ
MapId.Name.21001	ย่านการค้าท่าเรือ
MapId.Name.21002	ย่านการค้าท่าเรือ
MapId.Name.21101	ย่านการค้าท่าเรือ
MapId.Name.21102	ย่านการค้าท่าเรือ
MapId.Name.21201	ทางเข้าลานท่าเรือ
MapId.Name.21301	ลานท่าเรือเวฟล็อค
MapId.Name.30101	ทางเข้าลิฟต์ท่าอากาศ
MapId.Name.30201	ท่าอากาศเวฟล็อค
MapId.Name.30301	ท่าอากาศเวฟล็อค
MapId.Name.30302	ท่าอากาศเวฟล็อค
MapId.Name.30401	ท่าอากาศเวฟล็อค
MapId.Name.30402	ท่าอากาศเวฟล็อค
MapId.Name.30501	ท่าอากาศเวฟล็อค
MapId.Name.30502	ท่าอากาศเวฟล็อค
MapId.Name.30601	ทางเข้าลานหลักท่าอากาศ
MapId.Name.30701	ลานหลักท่าอากาศ
MapId.Name.30801	ย่านที่พักเมืองบน
MapId.Name.30802	ย่านที่พักเมืองบน
MapId.Name.30901	ย่านที่พักเมืองบน
MapId.Name.30902	ย่านที่พักเมืองบน
MapId.Name.31001	ย่านที่พักเมืองบน
MapId.Name.31002	ย่านที่พักเมืองบน
MapId.Name.31101	ย่านที่พักเมืองบน
MapId.Name.31102	ย่านที่พักเมืองบน
MapId.Name.31201	หน้าป้อมเวฟล็อค
MapId.Name.31301	ลานป้อมเวฟล็อค
MapId.Name.40101	ทางเข้าท่อระบายป้อม
MapId.Name.40201	ท่อระบายป้อม
MapId.Name.40301	ท่อระบายป้อม
MapId.Name.40302	ท่อระบายป้อม
MapId.Name.40401	ท่อระบายป้อม
MapId.Name.40402	ท่อระบายป้อม
MapId.Name.40501	ท่อระบายป้อม
MapId.Name.40502	ท่อระบายป้อม
MapId.Name.40601	ทางลับ
MapId.Name.40701	ที่ทิ้งตัวอย่างทดลอง
MapId.Name.40801	ห้องแล็บเวฟล็อค
MapId.Name.40802	ห้องแล็บเวฟล็อค
MapId.Name.40901	ห้องแล็บเวฟล็อค
MapId.Name.40902	ห้องแล็บเวฟล็อค
MapId.Name.41001	ห้องแล็บเวฟล็อค
MapId.Name.41002	ห้องแล็บเวฟล็อค
MapId.Name.41101	ห้องแล็บเวฟล็อค
MapId.Name.41102	ห้องแล็บเวฟล็อค
MapId.Name.41201	ทางลับห้องแล็บ
MapId.Name.41301	เหมืองโกลาหล
MapId.Name.50101	ห้องลับป้อมเวฟล็อค
MapId.Name.50201	ป้อมเวฟล็อค
MapId.Name.50301	ป้อมเวฟล็อค
MapId.Name.50302	ป้อมเวฟล็อค
MapId.Name.50401	ป้อมเวฟล็อค
MapId.Name.50402	ป้อมเวฟล็อค
MapId.Name.50501	ป้อมเวฟล็อค
MapId.Name.50502	ป้อมเวฟล็อค
MapId.Name.50601	ห้องหน้าบัลลังก์
MapId.Name.50701	ห้องบัลลังก์
MapId.Name.50801	ทางเข้าระเบียงลอยฟ้า
MapId.Name.50802	ระเบียงลอยฟ้า
MapId.Name.50901	ระเบียงลอยฟ้า
MapId.Name.50902	ระเบียงลอยฟ้า
MapId.Name.51001	ระเบียงลอยฟ้า
MapId.Name.51002	ระเบียงลอยฟ้า
MapId.Name.51101	ระเบียงลอยฟ้า
MapId.Name.51102	ระเบียงลอยฟ้า
MapId.Name.51201	สวนลอยฟ้า
MapId.Name.51301	สวนลอยฟ้า
MapId.Name.51401	หอพิธีกรรม
MapId.Name.60101	กองเรือลัทธิ
MapId.Name.70101	ท่าเรือป้อมเวฟล็อค
MapId.Name.70201	แดนลับ
MapId.Name.10000	ป่าลมทะเล
