# key	thai
Notplayercharacter.id.30121	นายทหารเสบียง
Notplayercharacter.id.30141	แม่ชี
Notplayercharacter.id.30142	มุ่งสู่ดาวพลังจิต
Notplayercharacter.id.30151	นักล่าที่บาดเจ็บ
Notplayercharacter.id.30152	เอเลนาที่บาดเจ็บ
Notplayercharacter.id.30153	นักบวชที่บาดเจ็บ
Notplayercharacter.id.30154	หีบสมบัติลึกลับ
Notplayercharacter.id.30161	นักเล่นแร่แปรธาตุ
Notplayercharacter.id.30181	หมอเท้าเปล่า
Notplayercharacter.id.30201	พ่อค้าอัปเกรด
Notplayercharacter.id.30211	พ่อค้าอัปเกรด
Notplayercharacter.id.30221	แม่มดขี้ลืม
Notplayercharacter.id.30231	หีบสมบัติ
Notplayercharacter.id.30241	นักบวชที่ถูกไล่ล่า
Notplayercharacter.id.30251	หมอดู
Notplayercharacter.id.30261	นักบวชลิลี่
Notplayercharacter.id.30262	นักบวชลิลี่
Notplayercharacter.id.30271	หมอดู
Notplayercharacter.id.30281	ช่างเทพ
Notplayercharacter.id.30282	โต๊ะตีเหล็กช่างเทพ
Notplayercharacter.id.30283	ช่างตีเหล็กที่ถูกจองจำ
Notplayercharacter.id.30291	บันทึกนักล่า
Notplayercharacter.id.30301	ต้นไม้พรสวรรค์
Notplayercharacter.id.30311	วงล้ออีโมท
Notplayercharacter.id.30321	เลือกความยาก
Notplayercharacter.id.30331	เจนนีที่ร้อนใจ
Notplayercharacter.id.30341	มาร์คัสผู้ห้าวหาญ
Notplayercharacter.id.30351	แลนนีที่ตื่นรู้
Notplayercharacter.id.30361	กระดานลูกแก้ว
Notplayercharacter.id.30371	ผู้ชมละครสัตว์ 1
Notplayercharacter.id.30372	ผู้ชมละครสัตว์ 2
Notplayercharacter.id.30373	ผู้ชมละครสัตว์ 3
Notplayercharacter.id.30374	ผู้ชมละครสัตว์ 4
Notplayercharacter.id.30375	ผู้ชมละครสัตว์ 5
Notplayercharacter.id.30381	นายทหารเสบียงที่บาดเจ็บสาหัส
Notplayercharacter.id.30391	แม่ชีที่บาดเจ็บสาหัส
Notplayercharacter.id.30401	ผู้บรรยายกองเรือ
Notplayercharacter.id.30411	หญิงในชุดตะวันออก
Notplayercharacter.id.30421	หญิงลึกลับ
Notplayercharacter.id.30431	ปืนในสระ
