Relic.Name.41001	รองเท้าคนโง่
Relic.Name.41002	หมวกนักมายากล
Relic.Name.41003	พวงมาลัยนักบวชหญิง
Relic.Name.41004	หีบสมบัติจักรพรรดินี
Relic.Name.41005	ดาบศักดิ์สิทธิ์จักรพรรดิ
Relic.Name.41006	คทาสันตะปาปา
Relic.Name.41007	ของขวัญคู่รัก
Relic.Name.41008	ล้อรถศึก
Relic.Name.41009	สนับแข้งพลัง
Relic.Name.41010	เสื้อคลุมฤๅษี
Relic.Name.41011	ตราชูโชคชะตา
Relic.Name.41012	ดาบยุติธรรม
Relic.Name.41013	เชือกคนแขวนคอ
Relic.Name.41014	เคียวยมทูต
Relic.Name.41015	ตราพอประมาณ
Relic.Name.41016	เหรียญปีศาจ
Relic.Name.41017	กุญแจหอคอย
Relic.Name.41018	คทาดวงดาว
Relic.Name.41019	คทาดวงจันทร์
Relic.Name.41020	คทาดวงอาทิตย์
Relic.Name.41021	ดาบพิพากษา
Relic.Name.41022	ศิลาโลก
Relic.Name.41023	ทับทิมเลือด
Relic.Name.41024	กระสุนหนาม
Relic.Name.41025	เครื่องรางเหล็กกล้า
Relic.Name.41026	แหวนทุบหนัก
Relic.Name.41027	คัมภีร์พลัง
Relic.Name.41028	คัมภีร์เลือด
Relic.Name.41029	ลูกแก้วกระหายเลือด
Relic.Name.41030	แหวนแดงเลือด
Relic.Name.41031	ถุงมือบดขยี้
Relic.Name.41032	หอกเลือด
Relic.Name.41033	แตรสงคราม
Relic.Name.41034	ตำราอาคม
Relic.Name.41035	ขวานเพชฌฆาต
Relic.Name.41036	ใบมีดผ่าท้อง
Relic.Name.41037	อ่างพิธีกรรม
Relic.Name.41038	สร้อยจันทร์เลือด
Relic.Name.41039	หนังสือจาริกบุญ
Relic.Name.41040	หน้ากากสังหาร
Relic.Name.41041	เมตตาจากพระเจ้า
Relic.Name.41042	แหวนทุกข์ทรมาน
Relic.Name.41043	จอกเลือด
Relic.Name.41044	ไพลินสีคราม
Relic.Name.41045	เครื่องรางเยือกแข็ง
Relic.Name.41046	แหวนพิทักษ์
Relic.Name.41047	เกราะน้ำแข็งละลาย
Relic.Name.41048	เกราะปฐมพยาบาล
Relic.Name.41049	เกราะห้ามเลือด
Relic.Name.41050	แหวนควบแน่น
Relic.Name.41051	เสาน้ำแข็ง
Relic.Name.41052	สร้อยกลืนความร้อน
Relic.Name.41053	กระสุนเยือกแข็ง
Relic.Name.41054	เกราะหนักเยือกแข็ง
Relic.Name.41055	ลูกแก้วพลังจลน์
Relic.Name.41056	เกราะพายุ
Relic.Name.41057	หนามเหน็บหนาว
Relic.Name.41058	แหวนพายุ
Relic.Name.41059	เกราะเกรี้ยวกราด
Relic.Name.41060	มงกุฎดาวหาง
Relic.Name.41061	ป้อมปราการอมตะ
Relic.Name.41062	หัวใจพายุ
Relic.Name.41063	จุมพิตลมหนาว
Relic.Name.41064	ดวงตาเหมันต์
Relic.Name.41065	ถุงมือประจุ
Relic.Name.41066	รองเท้าประจุ
Relic.Name.41067	กระสุนประจุ
Relic.Name.41068	เครื่องรางสายฟ้า
Relic.Name.41069	แหวนประจุ
Relic.Name.41070	สร้อยประจุ
Relic.Name.41071	มีดไฟฟ้าประจุ
Relic.Name.41072	ลิ่มล่อสายฟ้า
Relic.Name.41073	ลูกแก้วปั่นป่วน
Relic.Name.41074	แม่เหล็กรวมพลัง
Relic.Name.41075	ดวงตามังกรสายฟ้า
Relic.Name.41076	ตัวเก็บประจุโอเวอร์โหลด
Relic.Name.41077	กรงเล็บมังกรสายฟ้า
Relic.Name.41078	สนามไฟฟ้าปั่นป่วน
Relic.Name.41079	เกล็ดกลับมังกรสายฟ้า
Relic.Name.41080	ขดลวดโอเวอร์โหลด
Relic.Name.41081	มือฟ้าคำราม
Relic.Name.41082	ลูกศรฟ้าคำราม
Relic.Name.41083	มงกุฎฟ้าคำราม
Relic.Name.41084	เกราะฟ้าคำราม
Relic.Name.41085	เสียงคำรามสายฟ้า
Relic.Name.41086	กระสุนปิดฉาก
Relic.Name.41087	กระสุนเพลิง
Relic.Name.41088	เครื่องรางเพลิง
Relic.Name.41089	อัญมณีเพลิง
Relic.Name.41090	เถ้าเพลิงนิรันดร์
