# key	thai
Role.Name.20001	เจสเตอร์
Role.Name.20002	แลนนี
Role.Name.20003	มาร์คัส
Role.Name.20004	เจนนี
Role.Name.20005	เอเลนา
Role.Name.200051	เอเลนา
Role.Name.20006	หลงถง
Role.Name.20007	สเตลลา
Role.Name.23001	แม่มดกระต่ายบ้า (ขาว) ลาบี
Role.Name.23002	ฮ็อตตี้
Role.Name.23003	เอลลา
Role.Name.23103	เอลลา
Role.Name.23004	กระถางต้นไม้น้อย
Role.Name.23005	ยอดนักมายากล
Role.Name.2300502	ยอดนักมายากล
Role.Name.23006	นักฝึกสัตว์
Role.Name.2300601	นักฝึกสัตว์
Role.Name.23007	นางระบำ
Role.Name.2300701	นางระบำ
Role.Name.23008	มอบพรแด่อลิเซีย
Role.Name.23009	นักปราชญ์เรเวน
Role.Name.23010	เวฟล็อคผนึกกำลังเป็นหนึ่ง
Role.Name.230101	มือปืนนรก
Role.Name.230102	อัศวินกันแลนซ์
Role.Name.230103	สมอแห่งจักรวรรดิ
Role.Name.23011	คนเก็บศพ
Role.Name.23012	บาปแห่งเวฟล็อค
Role.Name.230123	เสียงสะท้อนแห่งความแค้น
Role.Name.23013	อัศวินเทพธิดา โลเรไล
Role.Name.23014	อลิเซีย นักร้องผู้ไม่ได้เป็นเทพ
Role.Name.23015	อลิเซีย เจ้าหญิงล้างแค้น
Role.Name.23016	อลิเซีย แม่มดภัยพิบัติ
Role.Name.240022	สิงโตที่หลงทาง
Role.Name.240031	ไคเมร่าสังหารยักษ์
Role.Name.21002	วิญญาณแม่มด
Role.Name.21003	แม่มดชั้นต่ำ
Role.Name.21004	แม่มดระดับล่าง
Role.Name.21005	หมาตาเดียวสีน้ำตาล
Role.Name.21006	หมาตาเดียวสีดำ
Role.Name.21007	สไลม์เขียว
Role.Name.21008	สาวสไลม์สีฟ้า
Role.Name.21009	นักล่าเขียวคืนชีพ
Role.Name.21010	นักล่าแดงคืนชีพ
Role.Name.21011	พลเรือนคืนชีพ
Role.Name.21012	หมาเพลิง
Role.Name.21013	ไอรอนเมเดนเพลิง
Role.Name.21014	ร่างแม่ลอยฟ้าสีฟ้า
Role.Name.21015	ร่างลอยฟ้าสีฟ้า
Role.Name.21016	แม่มดเพลิง
Role.Name.21017	หมาเชื้อราเสื่อมทราม
Role.Name.21018	แม่มดแยกร่าง
Role.Name.210181	ร่างแยกของแม่มดแยกร่าง
Role.Name.21019	นักล่าสไนเปอร์
Role.Name.21020	นักล่าลูกซองคู่
Role.Name.21021	คริสตัลเวทป้องกัน
Role.Name.21022	แม่มดระเบิด
Role.Name.21023	แม่มดแห่งกาลเวลา
Role.Name.21024	นักบวชขาวคืนชีพ
Role.Name.21025	คนเป่าปี่เสื่อมทราม
Role.Name.21026	หนูดำโรคระบาด
Role.Name.21027	ลูกเรือเสื่อมทราม
Role.Name.21028	กัปตันเสื่อมทราม
Role.Name.21029	หนอนกินซาก
Role.Name.21030	แม่มดหมึก
Role.Name.21031	ทหารหอกเสื่อมทราม
Role.Name.21032	จอมเวทเยือกแข็งเสื่อมทราม
Role.Name.21033	นักดาบหลวงเสื่อมทราม
Role.Name.21034	ทหารค้อนยักษ์เสื่อมทราม
Role.Name.21035	วิญญาณพ่อค้า
Role.Name.21036	วิญญาณบาทหลวง
Role.Name.21037	วิญญาณสาวใช้
Role.Name.21038	มิมิก
Role.Name.21039	วิญญาณชาวบ้าน
Role.Name.21040	วิญญาณขุนนาง
Role.Name.21041	ตัวตลกปามีด
Role.Name.21042	นักล่าไฟฟ้า
Role.Name.21043	แม่มดโคลนตม
Role.Name.21044	กองอัศวินเรเปียร์
Role.Name.21045	ตัวระเบิดพลีชีพ
Role.Name.21046	นักล่าเขียวแห่งลัทธิ
Role.Name.21047	นักล่าสไนเปอร์แห่งลัทธิ
Role.Name.21048	ทหารหอกแห่งลัทธิ
Role.Name.21049	จอมเวทเยือกแข็งแห่งลัทธิ
Role.Name.21050	นักดาบหลวงแห่งลัทธิ
Role.Name.21051	ทหารค้อนยักษ์แห่งลัทธิ
Role.Name.22002	นักบวชคืนชีพ
Role.Name.22003	ไคเมร่าสังหาร
Role.Name.22007	ไคเมร่าสังหารยักษ์
Role.Name.22004	ปูยักษ์เสื่อมทราม
Role.Name.22005	ซากศพโสโครก
Role.Name.22006	มือปืนหนัก
Role.Name.22008	คาร์ดินัล
Role.Name.22009	นักบวชแห่งลัทธิ
Role.Name.220081	ไม้กางเขนที่คาร์ดินัลเรียกมา
Role.Name.230021	หมาเพลิง
Role.Name.230022	ฮ็อตตี้ สกิล 1 เขี้ยวเพลิง
Role.Name.230026	หีบสมบัติที่เรียกฮ็อตตี้
Role.Name.231031	ไอรอนเมเดนกรงเพลิง
Role.Name.230062	สิงโต
Role.Name.230111	ซอมบี้ที่สัปเหร่อเรียกมา
Role.Introduce.20001	จะพยายามช่วยทุกคนอย่างเต็มที่!
Role.Introduce.20002	ไปหาของดีด้วยกันไหม?
Role.Introduce.20003	พวกเรา เก็บคำโม้ไว้ตอนรอดกลับมาก่อน
Role.Introduce.20004	ฮึ่ม รู้สึกเหมือนจะระเบิดอยู่แล้ว!
Role.Introduce.20005	ต้นตอของความผิดปกติอยู่บนเกาะ ฉันจะสืบให้รู้เรื่อง
Role.Introduce.20006	พูดสั้นๆ ศัตรูจะล้มลง
Role.Introduce.20007	ผลจากการดูดาวคือ-ชนะแน่นอนร้อยเปอร์เซ็นต์! ☆
