# key	thai
RoleSkillTree.Name.2000112	หัวใจยุติธรรม
RoleSkillTree.Name.2000111	ดวงมือใหม่
RoleSkillTree.Name.2000121	แสงแห่งโชค
RoleSkillTree.Name.2000122	สวนกลับตามจังหวะ
RoleSkillTree.Name.2000123	ดวงผันผวน
RoleSkillTree.Name.2000131	ไฟสู้ลุกโชน
RoleSkillTree.Name.2000132	กงล้อโชคชะตา
RoleSkillTree.Name.2000133	ยุติธรรมเร่งเร็ว
RoleSkillTree.Name.2000141	ยุติธรรมคุ้มครอง
RoleSkillTree.Name.2000142	โชคดีไม่ขาดสาย
RoleSkillTree.Name.2000143	เวลาสวนกลับ
RoleSkillTree.Name.2000151	จนวินาทีสุดท้าย
RoleSkillTree.Name.2000152	นักล่าไม่ยอมแพ้
RoleSkillTree.Name.2000153	โชคดีต่อเนื่อง
RoleSkillTree.Name.2000161	ฉันจะเป็นฮีโร่!
RoleSkillTree.Name.2000162	ฮีโร่ผู้ถูกเลือก
RoleSkillTree.Name.2000163	สวนกลับพลิกวิกฤต
RoleSkillTree.Name.2000212	เสี่ยงสูงคุ้มสูง
RoleSkillTree.Name.2000211	เซียนการค้า
RoleSkillTree.Name.2000221	กระปุกออมสินแลนนี
RoleSkillTree.Name.2000222	เอาอีกรอบ
RoleSkillTree.Name.2000223	นักล่าทองคำ
RoleSkillTree.Name.2000231	เลี่ยงความเสี่ยง
RoleSkillTree.Name.2000232	ลงทุนระยะยาว
RoleSkillTree.Name.2000233	กระสุนทองนำโชค
RoleSkillTree.Name.2000241	สะสมทีละน้อย
RoleSkillTree.Name.2000242	ไม่ให้เสียเปล่า
RoleSkillTree.Name.2000243	นักล่า\\nไม่เคยกลับมือเปล่า!
RoleSkillTree.Name.2000251	เสียทรัพย์ปัดภัย
RoleSkillTree.Name.2000252	นักล่าไม่ยอมแพ้
RoleSkillTree.Name.2000253	ค้าขายราบรื่น
RoleSkillTree.Name.2000261	มือปืนทองคำ
RoleSkillTree.Name.2000262	ผู้ชนะรายใหญ่
RoleSkillTree.Name.2000263	ปรมาจารย์การค้า
RoleSkillTree.Name.2000312	กระสุนเงินสังหาร
RoleSkillTree.Name.2000311	ยิงสองนัด
RoleSkillTree.Name.2000321	พายุกระสุน
RoleSkillTree.Name.2000322	ประสานกำลังยิง
RoleSkillTree.Name.2000323	เสริมยิงสองนัด
RoleSkillTree.Name.2000331	กลางหว่างคิ้ว
RoleSkillTree.Name.2000332	เสริมกระสุนเงินสังหาร
RoleSkillTree.Name.2000333	กราดยิงโชว์!
RoleSkillTree.Name.2000341	จ้องเหยื่อไว้แล้ว
RoleSkillTree.Name.2000342	หัวกระสุนแกนตะกั่ว
RoleSkillTree.Name.2000343	เทคนิคยิงเร็ว
RoleSkillTree.Name.2000351	เตรียมพร้อมมาดี
RoleSkillTree.Name.2000352	นักล่าไม่ยอมแพ้
RoleSkillTree.Name.2000353	ปล้นเพื่อรอด
RoleSkillTree.Name.2000361	พายุมรณะ
RoleSkillTree.Name.2000362	นักล่ารุ่นเก๋า
RoleSkillTree.Name.2000363	ยิงสามนัด
RoleSkillTree.Name.2000411	ขยะเป็นสมบัติ
RoleSkillTree.Name.2000412	ระเบิดแมวป่า
RoleSkillTree.Name.2000421	รีไซเคิลเศษวัสดุ
RoleSkillTree.Name.2000422	ดัดแปลงง่ายๆ
RoleSkillTree.Name.2000423	ประกอบจากเศษวัสดุ
RoleSkillTree.Name.2000431	ระเบิดทำลายเกราะ
RoleSkillTree.Name.2000432	ระเบิดแปรปรวน
RoleSkillTree.Name.2000433	ระเบิดสุญญากาศ
RoleSkillTree.Name.2000441	อัจฉริยะช่างประกอบ
RoleSkillTree.Name.2000442	ระเบิดคู่
RoleSkillTree.Name.2000443	ระเบิดลูกปราย
RoleSkillTree.Name.2000451	ระเบิดฟื้นพลัง
RoleSkillTree.Name.2000452	นักล่าไม่ยอมแพ้
RoleSkillTree.Name.2000453	เกราะเศษวัสดุ
RoleSkillTree.Name.2000461	ผู้เชี่ยวชาญล้มยักษ์
RoleSkillTree.Name.2000462	ช่างประกอบระดับตำนาน
RoleSkillTree.Name.2000463	ดัดแปลงชิ้นส่วนระเบิด
RoleSkillTree.Name.2000512	เวลาล่าปีศาจ
RoleSkillTree.Name.2000511	ลูกศรเงินล่าปีศาจ
RoleSkillTree.Name.2000521	ตราล่าสังหาร
RoleSkillTree.Name.2000522	ไร้ทางหนี
RoleSkillTree.Name.2000523	ถอนรากถอนโคน
RoleSkillTree.Name.2000531	ห้วงเวลาทรมาน
RoleSkillTree.Name.2000532	ไม่ปรานี
RoleSkillTree.Name.2000533	ลื่นไหลดั่งสายน้ำ
RoleSkillTree.Name.2000541	ระบำล่าปีศาจ
RoleSkillTree.Name.2000542	ไกอัตโนมัติ
RoleSkillTree.Name.2000543	จู่โจมไม่ทันตั้งตัว
RoleSkillTree.Name.2000551	รบยืดเยื้อ
RoleSkillTree.Name.2000552	นักล่าไม่ยอมแพ้
RoleSkillTree.Name.2000553	เฉียดตัวไป
RoleSkillTree.Name.2000561	ลูกศรเงินทลายปีศาจ
RoleSkillTree.Name.2000562	ระบำมรณะ
RoleSkillTree.Name.2000563	ลูกศรเงินระเบิด
RoleSkillTree.Name.2000612	แอมเบอร์
RoleSkillTree.Name.2000611	กำจัดพวกมัน!
RoleSkillTree.Name.2000621	รบประสานกำลัง
RoleSkillTree.Name.2000622	เสริมลมหายใจมังกร
RoleSkillTree.Name.2000623	เปลวมังกรเผาเกราะ
RoleSkillTree.Name.2000631	ลมแรงมังกรวิญญาณ
RoleSkillTree.Name.2000632	ลมหายใจมังกรหลายลำ
RoleSkillTree.Name.2000633	ลมหายใจโกลาหล
RoleSkillTree.Name.2000641	เปลวมังกรระเบิด
RoleSkillTree.Name.2000642	เปลวมังกรย้อนไฟ
RoleSkillTree.Name.2000643	เปลวมังกรไม่ดับ
RoleSkillTree.Name.2000651	มังกรวิญญาณผู้พิทักษ์
RoleSkillTree.Name.2000652	นักล่าไม่ยอมแพ้
RoleSkillTree.Name.2000653	เปลวมังกรบั่นทอน
RoleSkillTree.Name.2000661	คำสาปมังกรโบราณ
RoleSkillTree.Name.2000662	คนมังกรเป็นหนึ่ง
RoleSkillTree.Name.2000663	กระสุนมังกรชุบแข็ง
RoleSkillTree.Name.2000711	กงล้อโชคชะตา
RoleSkillTree.Name.2000712	แผงไพ่แสงดาว
RoleSkillTree.Name.2000721	ทางเลือกโชคชะตา
RoleSkillTree.Name.2000722	โชคชะตาสามชั้น
RoleSkillTree.Name.2000723	พลิกโชคชะตา
RoleSkillTree.Name.2000731	รัศมีคทา
RoleSkillTree.Name.2000732	ไพ่ดาบบิน
RoleSkillTree.Name.2000733	คำทำนายจอก
RoleSkillTree.Name.2000741	ขยายพลังเหรียญดาว
RoleSkillTree.Name.2000742	สะท้อนตรง-กลับหัว
RoleSkillTree.Name.2000743	ดาวไม่สิ้นสุด
RoleSkillTree.Name.2000751	สลับโชคชะตา
RoleSkillTree.Name.2000752	นักล่าไม่ยอมแพ้
RoleSkillTree.Name.2000753	แสงดาวเร่งเร็ว
RoleSkillTree.Name.2000761	ทูตโชคชะตา
RoleSkillTree.Name.2000762	ระบำดวงดาว
RoleSkillTree.Name.2000763	ชี้นำโชคชะตา
RoleSkillTree.Description.2000112	<color=#d6b85b>หัวใจยุติธรรม</color>ปลุกความกล้าของเจสเตอร์ อัตรายิงและความเร็วรีโหลด +60% นาน 8 วินาที
RoleSkillTree.Description.2000111	ทุก 60 วินาที เจสเตอร์ได้รับ<color=#d6b85b>[ดวงมือใหม่]</color> ทำให้หลบความเสียหายครั้งถัดไปได้ แล้ว<color=#d6b85b>[ดวงมือใหม่]</color>จะถูกใช้ไป
RoleSkillTree.Description.2000121	เมื่อเจสเตอร์มี<color=#d6b85b>[ดวงมือใหม่]</color>: อัตราคริติคอล +15% <link=\\"9034\\">อัตราทุบหนัก</link> +15%
RoleSkillTree.Description.2000122	เมื่อ<color=#d6b85b>[ดวงมือใหม่]</color>ถูกใช้ไป เจสเตอร์ยิงกระสุนเงินใส่ศัตรูที่ใกล้ที่สุด สร้าง<color=#d6b85b>ความเสียหายธาตุอาวุธปัจจุบัน</color> 280%
RoleSkillTree.Description.2000123	ทุกครั้งที่เจสเตอร์ได้รับความเสียหาย คูลดาวน์<color=#d6b85b>[ดวงมือใหม่]</color> -10 วินาที
RoleSkillTree.Description.2000131	ยิ่งพลังชีวิตของเจสเตอร์ต่ำ เอฟเฟกต์<color=#d6b85b>[หัวใจยุติธรรม]</color>ยิ่งแรง โดยเพิ่มขึ้นเท่ากับ 50% ของพลังชีวิตที่เสียไป
RoleSkillTree.Description.2000132	เมื่อเปิดใช้<color=#d6b85b>[หัวใจยุติธรรม]</color> เจสเตอร์จะใช้<color=#d6b85b>[ดวงมือใหม่]</color>ทันที แล้วได้รับกลับมาใหม่
RoleSkillTree.Description.2000133	<color=#d6b85b>[หัวใจยุติธรรม]</color> ทำให้อัตรายิงของเจสเตอร์ +40%
RoleSkillTree.Description.2000141	เมื่อเจสเตอร์มี<color=#d6b85b>[ดวงมือใหม่]</color> ความเสียหายคริติคอล +30%
RoleSkillTree.Description.2000142	คูลดาวน์<color=#d6b85b>[ดวงมือใหม่]</color> -30 วินาที
RoleSkillTree.Description.2000143	เมื่อ<color=#d6b85b>[ดวงมือใหม่]</color>ถูกใช้ไป ความเสียหายสุดท้ายของเจสเตอร์ +40% นาน 8 วินาที
RoleSkillTree.Description.2000151	หลังเปิดใช้<color=#d6b85b>[หัวใจยุติธรรม]</color> พลังชีวิตของเจสเตอร์จะไม่ลดต่ำกว่า 1 นาน 5 วินาที ถ้าได้รับ<color=#e92f2f>ความเสียหายถึงตาย</color>ขณะค่าท่าไม้ตายเต็ม จะเปิดใช้<color=#d6b85b>[หัวใจยุติธรรม]</color>อัตโนมัติ
RoleSkillTree.Description.2000152	เมื่อเจสเตอร์ได้รับ<color=#e92f2f>ความเสียหายถึงตาย</color> ฟื้นพลังชีวิตสูงสุด 50% ทันที จำกัด 1 ครั้งต่อเกม
RoleSkillTree.Description.2000153	เมื่อ<color=#d6b85b>[ดวงมือใหม่]</color>ถูกใช้ไป เจสเตอร์มีโอกาส 30% ได้รับกลับมาใหม่
RoleSkillTree.Description.2000161	<color=#d6b85b>[หัวใจยุติธรรม]</color> คงอยู่นานขึ้น 4 วินาที และเพิ่มความเร็วเคลื่อนที่ +60% ความเร็วรีโหลด +40% ความเสียหายสุดท้าย +40% ให้เจสเตอร์
RoleSkillTree.Description.2000162	เมื่อเจสเตอร์ยิงขณะมี<color=#d6b85b>[ดวงมือใหม่]</color> จะมี<color=#99b7bb><link=\\"9035\\">โอกาสปรับตัว</link></color> 12% เปิดใช้<color=#d6b85b>[หัวใจยุติธรรม]</color>ฟรี 1 ครั้ง
RoleSkillTree.Description.2000163	เมื่อ<color=#d6b85b>[ดวงมือใหม่]</color>ถูกใช้ไป เจสเตอร์รีโหลดกระสุนเต็มทันที และการยิงครั้งถัดไปเพิ่มกระสุนยุติธรรม 1 นัด สร้าง<color=#d6b85b>ความเสียหายธาตุอาวุธปัจจุบัน</color> 900%
RoleSkillTree.Description.2000212	ความเสียหายสุดท้าย +100% ความเสียหายที่ได้รับ +60% นาน 8 วินาที
RoleSkillTree.Description.2000211	เมื่อแลนนีใช้เหรียญครบ 200 ได้รับ<color=#bd30e7>เรลิคมหากาพย์</color><color=#d6b85b>ปริศนา</color> 1 ชิ้น
RoleSkillTree.Description.2000221	เมื่อแลนนีเปิดหีบสมบัติครั้งแรก ได้รับเรลิคเฉพาะตัว: <color=#05B2EA>กระปุกออมสินแลนนี</color>\\n \\n<color=#05B2EA>กระปุกออมสินแลนนี </color>\\n<color=#d6b85b>เมื่อแยกชิ้นส่วน</color>: ได้รับเหรียญเท่ากับจำนวนเหรียญที่ถืออยู่
RoleSkillTree.Description.2000222	<color=#d6b85b>[เซียนการค้า]</color> กระตุ้นได้ 2 ครั้ง แต่ครั้งที่ 2 ต้องใช้เหรียญเป็นสองเท่า
RoleSkillTree.Description.2000223	เหรียญที่ได้รับ +20%
RoleSkillTree.Description.2000231	<color=#d6b85b>[เสี่ยงสูงคุ้มสูง]</color> ไม่เพิ่มความเสียหายที่แลนนีได้รับอีกต่อไป
RoleSkillTree.Description.2000232	ระยะเวลาของ<color=#d6b85b>[เสี่ยงสูงคุ้มสูง]</color> +50%
RoleSkillTree.Description.2000233	ขณะอยู่ใน<color=#d6b85b>[เสี่ยงสูงคุ้มสูง]</color> อัตราคริติคอลของแลนนี +30%
RoleSkillTree.Description.2000241	ทุก 10 เหรียญที่เก็บได้ โบนัสความเสียหายสุดท้ายของ<color=#d6b85b>[เสี่ยงสูงคุ้มสูง]</color> +1% สูงสุด 60 ชั้น
RoleSkillTree.Description.2000242	อัตรายิง +15%\\nเมื่อ<color=#d6b85b>[เสี่ยงสูงคุ้มสูง]</color>พร้อมใช้ แลนนีจะเปิดใช้อัตโนมัติเมื่อยิงโดนศัตรู
RoleSkillTree.Description.2000243	ครั้งแรกที่ใช้<color=#d6b85b>[เสี่ยงสูงคุ้มสูง]</color>ในแต่ละเกม แลนนีสุ่มรับเรลิค<color=#f4a51c>ที่ไม่ใช่ตำนาน</color> 1 ชิ้น
RoleSkillTree.Description.2000251	เมื่อแลนนีได้รับ<color=#e92f2f>ความเสียหายถึงตาย</color> ถ้ามีเหรียญเกิน 25 จะเสีย 25 เหรียญเพื่อฟื้นพลังชีวิต 30%\\nทุกครั้งที่กระตุ้น เหรียญที่เสียจะเพิ่มเป็นสองเท่า
RoleSkillTree.Description.2000252	เมื่อแลนนีได้รับ<color=#e92f2f>ความเสียหายถึงตาย</color> ฟื้นพลังชีวิตสูงสุด 50% ทันที จำกัด 1 ครั้งต่อเกม
