# key	thai
StoryFra.Name.10100	คนทำขนมปังผู้ศรัทธาที่สุด
StoryFra.Name.10101	ปลอกคอที่ชำรุด
StoryFra.Name.10102	ขวดคริสตัลสุริยัน
StoryFra.Name.10103	เศษหน้าไดอารีของเอลลา
StoryFra.Name.10200	งานฉลองสีม่วง
StoryFra.Name.10201	โปสเตอร์งานฉลองวันเกิด
StoryFra.Name.10202	บันทึกของเจ้าของร้านดอกไม้
StoryFra.Name.10203	คริสตัลชวนขนลุก
StoryFra.Name.10300	เงาของสุริยัน
StoryFra.Name.10301	คำสั่งลับสุริยัน 1
StoryFra.Name.10302	คำสั่งลับสุริยัน 2
StoryFra.Name.10303	คำสั่งลับสุริยัน 3
StoryFra.Name.10400	แผนการเทพธิดาเริ่มต้น
StoryFra.Name.10401	ข้อเสนอแผนการเทพธิดา
StoryFra.Name.10402	คำขอวิจัยของเวฟล็อค
StoryFra.Name.10403	บันทึกการส่งมอบร่างศักดิ์สิทธิ์
StoryFra.Name.10500	ยุติสงครามด้วยบาป
StoryFra.Name.10501	ชนวนสงครามเจ็ดชาติ
StoryFra.Name.10502	รายงานวิจัยเก่า
StoryFra.Name.10503	มติสุดท้าย
StoryFra.Name.10600	นักร้องสาวผู้เป็นที่รัก
StoryFra.Name.10601	รายงานวิจัยการลงมาของเทพธิดา
StoryFra.Name.10602	จดหมายลับเก่า
StoryFra.Name.10603	แผนงานฉลอง
StoryFra.Name.10700	บาปที่แก้ตัวไม่ได้
StoryFra.Name.10701	รายงานตัวอย่างทดลองล็อต 184
StoryFra.Name.10702	คำสารภาพของคนเก็บศพ
StoryFra.Name.10703	ผลึกความแค้น
StoryFra.Name.10800	ความรักที่ปฏิเสธไม่ได้
StoryFra.Name.10801	คำสั่งลับตระกูลเวฟล็อค
StoryFra.Name.10802	บันทึกของนักวิจัย
StoryFra.Name.10803	เศษหน้าไดอารีของเลออน เวฟล็อค
StoryFra.Name.10900	ขอให้ฝังร่างในพายุ
StoryFra.Name.10901	ลายมือสุดท้ายของนักปราชญ์เรเวน
StoryFra.Name.10902	คำสั่งเสียของโลเรไล
StoryFra.Name.10903	เสียงสะท้อนความทรงจำของอลิเซีย
StoryFra.Name.11000	เส้นบรรจบแห่งโชคชะตา
StoryFra.Name.11001	เศษความทรงจำในวังวน
StoryFra.Name.11002	เสียงกระซิบของเทพธิดา
StoryFra.Name.11003	เสียงกระซิบลึกลับ
StoryFra.Description.10100	เอลลาเป็นคนทำขนมปังที่มีชื่อเสียงไปทั้งเมือง ทั้งจากฝีมือทำขนมชั้นเลิศและศรัทธาอันแรงกล้าต่อลัทธิสุริยัน ระหว่างเตรียมงานฉลองของเจ้าหญิง เจ้าหน้าที่ของลัทธิมาตรวจขั้นตอนการทำเค้กของเธอ ชื่นชมอย่างมาก แล้วมอบขวด "น้ำศักดิ์สิทธิ์" ไว้เป็นเครื่องคุ้มครอง พร้อมบอกให้ดื่มเมื่อตกอยู่ในอันตราย แต่หลังจากเอลลาดื่มของเหลวนั้นเข้าไป ร่างของเธอก็กลายพันธุ์เป็นแม่มดที่มีพลังทำลายล้างมหาศาล
StoryFra.Description.10101	ปลอกคอถูกไฟไหม้จนเสียหาย ตัวอักษรบนนั้นยังพอมองเห็นราง ๆ: "ฮ็อตตี้ ลูกหมาสุดที่รักของเอลลา ถ้าใครเจอลูกหมาของฉัน ช่วยพามาส่งที่ร้านขนมปังของเอลลาด้วยนะ ขอบคุณมาก ๆ ขอสุริยันนำทางให้คุณ"
StoryFra.Description.10102	ขวดคริสตัลที่สลักตราของลัทธิสุริยัน ดูประณีตมาก มองใกล้ ๆ ยังมีของเหลวสีม่วงเหลืออยู่ข้างในนิดหน่อย...
StoryFra.Description.10103	"วันนี้ตอนกำลังยุ่งกับเค้กงานฉลองของเจ้าหญิงอลิเซีย นักบวชจากลัทธิมาถึงร้านขนมปังด้วยตัวเอง แล้วชมว่าเค้กของฉันสะท้อนความภักดีต่อสุริยัน ก่อนกลับพวกเขามอบน้ำศักดิ์สิทธิ์ขวดเล็ก ๆ ให้ บอกว่าข้างในรวมพลังแห่งแสงบริสุทธิ์เอาไว้ ถ้าดื่มตอนตกอยู่ในอันตราย จะได้รับการคุ้มครองจากสุริยัน"
StoryFra.Description.10200	อาณาจักรเวฟล็อคจัดงานฉลองใหญ่ที่ลานท่าเรือ เพื่อฉลองวันเกิดของเจ้าหญิงรัชทายาทอลิเซีย ช่วงนั้นมีคนนอกเดินทางเข้าประเทศจำนวนมาก บรรยากาศงานคึกคักสุด ๆ แต่พอตะวันตกดิน กลางลานกลับเกิดระเบิดพลังเวทโกลาหลขึ้นโดยไม่ทราบสาเหตุ คลื่นพลังสีม่วงเข้มที่ปล่อยออกมาทำให้คนในงานจำนวนมากกลายพันธุ์ทันที ร่างบิดเบี้ยว ความก้าวร้าวพุ่งสูงขึ้น หลังจากนั้นพลังเวทโกลาหลก็เริ่มแพร่ไปทั่วเมือง...
StoryFra.Description.10201	โปสเตอร์งานฉลองอย่างเป็นทางการที่พิมพ์มาอย่างสวยงาม มุมยับเล็กน้อย ขอบมีคราบอะไรไม่รู้ติดอยู่หลายจุด ภาพหลักคือภาพเหมือนของเจ้าหญิงอลิเซีย ด้านล่างเป็นข้อความหนักแน่นจริงใจ: "ขอแสดงความยินดีในวันเกิดของสมบัติแห่งโลก ไข่มุกแห่งเวฟล็อค เจ้าหญิงอลิเซีย พรุ่งนี้จะมีงานฉลองใหญ่ทั่วเมืองที่ลานท่าเรือ ขอเชิญทุกท่านมาร่วมงานและมอบคำอวยพรที่จริงใจที่สุดแด่เจ้าหญิง" ด้านล่างสุดของโปสเตอร์พิมพ์วันที่ไว้ด้วยตัวอักษรทองเล็ก ๆ: ศักราชสุริยัน 16 กรกฎาคม 1246
StoryFra.Description.10202	"ก่อนวันงานฉลอง ออร์เดอร์พุ่งขึ้นเยอะมาก ปกติน่าจะเป็นเรื่องดี... แต่ลูกค้าหลายคนแปลกจริง ๆ พวกเขายืนกรานให้ปักคริสตัลสีม่วงชนิดพิเศษลงในช่อดอกไม้ทุกช่อเป็นของตกแต่ง คริสตัลนั่น... สัมผัสแล้วเย็นเฉียบ มองใกล้ ๆ เหมือนมีแสงมืด ๆ หมุนช้า ๆ อยู่ข้างใน จ้องนาน ๆ แล้วรู้สึกหนาวถึงใจ ถึงค่าจ้างจะงามมาก แต่ออร์เดอร์ชุดนี้ก็ให้ความรู้สึกไม่ดีตลอด ขอเทพเจ้าคุ้มครองให้งานฉลองพรุ่งนี้ผ่านไปด้วยดี..."
StoryFra.Description.10203	คริสตัลสีม่วงที่แตกร้าวชิ้นนี้หมองจนไร้แสง ข้างในเต็มไปด้วยรอยร้าวคล้ายใยแมงมุม เหลือคลื่นพลังเวทอ่อนแรงอยู่นิดเดียว ดูเหมือนจะเกี่ยวพันกับทุกอย่างที่เกิดขึ้นในคืนนี้อย่างแยกไม่ออก...
StoryFra.Description.10300	ก่อนถึงวันงานฉลอง ลัทธิสุริยันได้แอบหว่านเมล็ดพันธุ์แห่งความโกลาหลเอาไว้แล้ว พวกเขาตั้งใจจะจุดชนวนความโกลาหลตอนพิธีเสร็จสมบูรณ์ สร้างหายนะที่กวาดไปทั้งเมือง เพื่อทำลายตระกูลเวฟล็อคให้สิ้นซาก พร้อมกับตรึงกำลังของกองอัศวินเทพธิดาไว้ และสุดท้ายบีบให้เทพธิดาที่เพิ่งถือกำเนิดกลับสู่วิหารนิรันดร์
StoryFra.Description.10301	"เมื่อพิธีที่ป้อมเริ่มขึ้นคืนนี้ ให้จุดระเบิดคริสตัลโกลาหล เปิดฉากหายนะ แล้วตรึงกองอัศวินเทพธิดาเอาไว้"
StoryFra.Description.10302	"ในวันงานฉลอง ให้แจกน้ำศักดิ์สิทธิ์แก่พ่อค้าและพลเรือนทั่วทั้งเกาะ เพื่อให้การกลายพันธุ์เกิดขึ้นพร้อมกันตอนทำพิธี"
StoryFra.Description.10303	"นี่คือคำสั่งสูงสุด ทุกอย่างที่เราทำในวันนี้ล้วนเพื่อจุดประสงค์อันสูงส่งที่สุด ไม่ว่าจะต้องแลกด้วยอะไร ต้องพาเทพธิดากลับสู่วิหารนิรันดร์ให้ได้..."
StoryFra.Description.10400	ช่วงปลายสงครามต้านอสูร หัวหน้ากองอัศวินลิลี่ ออเรเลียน ใช้คำอธิษฐานครั้งสุดท้ายอัญเชิญเทพธิดาลงมา และปราบแม่มดภัยพิบัติได้สำเร็จ หลังจากนั้นเทพธิดาก็ไม่เคยตอบรับคำอธิษฐานใดในโลกนี้อีกเลย เมื่ออสูรค่อย ๆ หายไป อารยธรรมและเศรษฐกิจฟื้นตัว มนุษย์กลับลืมศรัทธาที่เคยมี แล้วก่อสงครามขึ้นอีกครั้งเพราะความโลภส่วนตน แม้ลัทธิสุริยันจะออกหน้าไกล่เกลี่ย ก็หยุดไฟสงครามไม่ได้ สุดท้ายอาร์คบิชอปคนที่สิบสี่ เวสเปรา วอร์เดนฮอลล์ จึงตัดสินใจร่วมมือกับตระกูลนักปราชญ์อย่างเวฟล็อค เปิดแผนการเทพธิดาอย่างเป็นทางการ สร้างภาชนะเทพธิดาขึ้นมา ด้วยความหวังว่าเทพธิดาจะกลับคืนสู่โลกและยุติหายนะครั้งนี้
