# key	thai
TeamSkill.Name.90101	ความเสียหายสุดท้าย +5%
TeamSkill.Name.90102	พลังชีวิตพื้นฐาน +5%
TeamSkill.Name.90201	ซื้อยาฟรีได้ 1 ครั้งในทุกร้านค้า
TeamSkill.Name.90202	เปิดหีบสมบัติครั้งแรก ได้รับ 15 เหรียญ
TeamSkill.Name.90203	เข้าร้านค้า ฟื้นพลังชีวิตที่เสียไป 25%
TeamSkill.Name.90301	ความเสียหายคริติคอล +20%
TeamSkill.Name.90302	อัตราคริติคอล +5% อัตราทุบหนัก +5%
TeamSkill.Name.90303	ความเร็วเคลื่อนที่ +8%
TeamSkill.Name.90304	ความเสียหายที่ได้รับทั้งหมด -5%
TeamSkill.Name.90401	อัตราสะสมท่าไม้ตาย +15%
TeamSkill.Name.90402	แผงขายเรลิคในร้านค้า +1
TeamSkill.Name.90403	เข้าร้านค้า ได้รับ <color=#11f7ef>[เกราะ]</color> 10
TeamSkill.Name.90501	<color=#d6b85b>เมื่อใช้ท่าไม้ตาย:</color> อัตราคริติคอล +25% นาน 8 วินาที
TeamSkill.Name.90502	ความเสียหายสกิลรบ +15%
TeamSkill.Name.90503	พลังโจมตีกระสุน +15%
TeamSkill.Name.90504	กำจัดบอส มีโอกาส 10% ดรอปเรลิคปริศนาเพิ่ม 1 ชิ้น
TeamSkill.Name.90505	ถ้าไม่ได้รับความเสียหายนาน 5 วินาที ความเร็วเคลื่อนที่ +15%
TeamSkill.Name.90506	<color=#d6b85b>[พักหายใจ]</color> ได้รับ <color=#11f7ef>[เกราะ]</color> เพิ่ม 5
TeamSkill.Name.90507	หลังได้รับความเสียหาย: ถ้าพลังชีวิตต่ำกว่า 50% จะสร้างฟองป้องกันนาน 5 วินาที ผู้เล่นในฟองป้องกันจะไม่รับความเสียหายใดๆ จำกัด 1 ครั้งต่อด่าน
TeamSkill.Name.905021	ความเสียหายสกิลรบ +30%
TeamSkill.Name.905031	พลังโจมตีกระสุน +30%
TeamSkill.Name.905041	กำจัดบอส มีโอกาส 20% ดรอปเรลิคปริศนาเพิ่ม 1 ชิ้น
TeamSkill.Name.905051	ถ้าไม่ได้รับความเสียหายนาน 5 วินาที ความเร็วเคลื่อนที่ +30%
TeamSkill.Name.905061	<color=#d6b85b>[พักหายใจ]</color> ได้รับ <color=#11f7ef>[เกราะ]</color> เพิ่ม 10
TeamSkill.Name.90601	<color=#d6b85b>เมื่อเกิดแปรปรวน:</color> มีโอกาส 10% สร้างความเสียหายธาตุอาวุธปัจจุบัน 260% แก่ศัตรู ความเสียหายนี้ได้รับผลจากโบนัสความเสียหายสกิลรบ
TeamSkill.Name.90602	เมื่อเริ่มเกม ได้รับเรลิค<color=#b41cf4>มหากาพย์</color>ปริศนา 1 ชิ้น
TeamSkill.Name.90603	เมื่อพลังชีวิตต่ำกว่า 30% ได้รับเอฟเฟกต์ <color=#d6b85b>[สู้เพื่ออยู่รอด]</color>: กระสุนโดนศัตรูจะฟื้นพลังชีวิต 1% ของสูงสุด สูงสุด 1 ครั้งต่อวินาที
TeamSkill.Name.90701	คูลดาวน์สกิลรบ -10%
TeamSkill.Name.90702	อัตรายิง +15% ความเร็วรีโหลด +15%
TeamSkill.Name.90703	เมื่อเข้าจุดพัก มีโอกาส 50% ได้รับอาวุธหรือชิ้นส่วนอาวุธปริศนา 1 ชิ้น
TeamSkill.Name.90704	เมื่อเข้าจุดพัก มีโอกาส 50% ได้รับเรลิคปริศนา 1 ชิ้น
TeamSkill.Name.90705	กำจัดบอส ฟื้นพลังชีวิตที่เสียไป 10%
