# key	thai
Weapon.Name.100204	ทะลุขีดจำกัด
Weapon.Name.100211	พายุสีเลือด
Weapon.Name.100212	พายุสีเลือด
Weapon.Name.100213	พายุสีเลือด
Weapon.Name.100214	พายุสีเลือด
Weapon.Name.100221	อัศวินสงคราม
Weapon.Name.100222	อัศวินสงคราม
Weapon.Name.100223	อัศวินสงคราม
Weapon.Name.100224	อัศวินสงคราม
Weapon.Name.100231	ธารน้ำแข็ง
Weapon.Name.100232	ธารน้ำแข็ง
Weapon.Name.100233	ธารน้ำแข็ง
Weapon.Name.100234	ธารน้ำแข็ง
Weapon.Name.100241	เซลล์อนันต์
Weapon.Name.100242	เซลล์อนันต์
Weapon.Name.100243	เซลล์อนันต์
Weapon.Name.100244	เซลล์อนันต์
Weapon.Name.100251	อัศวินพิชิต
Weapon.Name.100252	อัศวินพิชิต
Weapon.Name.100253	อัศวินพิชิต
Weapon.Name.100254	อัศวินพิชิต
Weapon.Name.100261	สูญสลาย
Weapon.Name.100262	สูญสลาย
Weapon.Name.100263	สูญสลาย
Weapon.Name.100264	สูญสลาย
Weapon.Name.100281	อัศวินอดอยาก
Weapon.Name.100282	อัศวินอดอยาก
Weapon.Name.100283	อัศวินอดอยาก
Weapon.Name.100284	อัศวินอดอยาก
Weapon.Name.100311	อัศวินมรณะ
Weapon.Name.100312	อัศวินมรณะ
Weapon.Name.100313	อัศวินมรณะ
Weapon.Name.100314	อัศวินมรณะ
Weapon.Name.100325	แสงวาบ
Weapon.Name.100335	สามัญ
Weapon.Name.100341	อัศวินพุ่ง
Weapon.Name.100342	อัศวินพุ่ง
Weapon.Name.100343	อัศวินพุ่ง
Weapon.Name.100344	อัศวินพุ่ง
Weapon.Name.100351	กระดูกหางแมงป่อง
Weapon.Name.100352	กระดูกหางแมงป่อง
Weapon.Name.100353	กระดูกหางแมงป่อง
Weapon.Name.100354	กระดูกหางแมงป่อง
Weapon.Name.100361	น้ำแข็งดำ
Weapon.Name.100362	น้ำแข็งดำ
Weapon.Name.100363	น้ำแข็งดำ
Weapon.Name.100364	น้ำแข็งดำ
Weapon.Name.100371	ปืนคาบศิลาเก่า
Weapon.Name.100372	ปืนคาบศิลาเก่า
Weapon.Name.100373	ปืนคาบศิลาเก่า
Weapon.Name.100374	ปืนคาบศิลาเก่า
Weapon.Name.100381	ปืนคาบศิลาเหมียว
Weapon.Name.100382	ปืนคาบศิลาเหมียว
Weapon.Name.100383	ปืนคาบศิลาเหมียว
Weapon.Name.100384	ปืนคาบศิลาเหมียว
Weapon.Name.100391	หน้าไม้ล่าปีศาจ
Weapon.Name.100392	หน้าไม้ล่าปีศาจ
Weapon.Name.100393	หน้าไม้ล่าปีศาจ
Weapon.Name.100394	หน้าไม้ล่าปีศาจ
Weapon.Name.100401	ประกายไฟ
Weapon.Name.100402	ประกายไฟ
Weapon.Name.100403	ประกายไฟ
Weapon.Name.100404	ประกายไฟ
Weapon.Name.100411	ปืนพลุสัญญาณ
Weapon.Name.100412	ปืนพลุสัญญาณ
Weapon.Name.100413	ปืนพลุสัญญาณ
Weapon.Name.100414	ปืนพลุสัญญาณ
Weapon.Name.100421	เครื่องทุบน้ำแข็ง
Weapon.Name.100422	เครื่องทุบน้ำแข็ง
Weapon.Name.100423	เครื่องทุบน้ำแข็ง
Weapon.Name.100424	เครื่องทุบน้ำแข็ง
Weapon.Name.100431	หนามเยือกแข็ง
Weapon.Name.100432	หนามเยือกแข็ง
Weapon.Name.100433	หนามเยือกแข็ง
Weapon.Name.100434	หนามเยือกแข็ง
Weapon.Name.100441	ปืนสายฟ้า
Weapon.Name.100442	ปืนสายฟ้า
Weapon.Name.100443	ปืนสายฟ้า
Weapon.Name.100444	ปืนสายฟ้า
Weapon.Name.100451	สายฟ้าประจุเกิน
Weapon.Name.100452	สายฟ้าประจุเกิน
Weapon.Name.100453	สายฟ้าประจุเกิน
Weapon.Name.100454	สายฟ้าประจุเกิน
Weapon.Name.100471	หมอก
Weapon.Name.100472	หมอก
Weapon.Name.100473	หมอก
Weapon.Name.100474	หมอก
Weapon.Name.100481	ปืนสั้นเหล็กกล้า
Weapon.Name.100482	ปืนสั้นเหล็กกล้า
Weapon.Name.100483	ปืนสั้นเหล็กกล้า
Weapon.Name.100484	ปืนสั้นเหล็กกล้า
Weapon.Name.100491	ตาเหยี่ยว
Weapon.Name.100492	ตาเหยี่ยว
Weapon.Name.100493	ตาเหยี่ยว
Weapon.Name.100494	ตาเหยี่ยว
Weapon.Name.100501	ลมหายใจมังกร
Weapon.Name.100502	ลมหายใจมังกร
Weapon.Name.100503	ลมหายใจมังกร
Weapon.Name.100504	ลมหายใจมังกร
Weapon.Name.100511	คำสาปเพลิง
Weapon.Name.100512	คำสาปเพลิง
Weapon.Name.100513	คำสาปเพลิง
Weapon.Name.100514	คำสาปเพลิง
Weapon.Name.100521	คลั่งชีวภาพ
Weapon.Name.100522	คลั่งชีวภาพ
Weapon.Name.100523	คลั่งชีวภาพ
Weapon.Name.100524	คลั่งชีวภาพ
Weapon.Name.100531	หิมะถล่ม
Weapon.Name.100532	หิมะถล่ม
Weapon.Name.100533	หิมะถล่ม
Weapon.Name.100534	หิมะถล่ม
Weapon.Name.100541	หอกสายฟ้า
Weapon.Name.100542	หอกสายฟ้า
Weapon.Name.100543	หอกสายฟ้า
Weapon.Name.100544	หอกสายฟ้า
Weapon.Name.100551	ตะปูล่อฟ้า
Weapon.Name.100552	ตะปูล่อฟ้า
Weapon.Name.100553	ตะปูล่อฟ้า
Weapon.Name.100554	ตะปูล่อฟ้า
Weapon.Name.100561	เหนียวหนึบ
Weapon.Name.100562	เหนียวหนึบ
Weapon.Name.100563	เหนียวหนึบ
Weapon.Name.100564	เหนียวหนึบ
Weapon.Name.100581	ผู้ทลายเมือง
Weapon.Name.100582	ผู้ทลายเมือง
Weapon.Name.100583	ผู้ทลายเมือง
Weapon.Name.100584	ผู้ทลายเมือง
Weapon.Name.100591	หน้าไม้หนัก
Weapon.Name.100592	หน้าไม้หนัก
Weapon.Name.100593	หน้าไม้หนัก
Weapon.Name.100594	หน้าไม้หนัก
Weapon.Name.100601	หน้าไม้ระเบิด
Weapon.Name.100602	หน้าไม้ระเบิด
Weapon.Name.100603	หน้าไม้ระเบิด
Weapon.Name.100604	หน้าไม้ระเบิด
Weapon.Name.100611	ปืนใหญ่แตกตัว
Weapon.Name.100612	ปืนใหญ่แตกตัว
Weapon.Name.100613	ปืนใหญ่แตกตัว
Weapon.Name.100614	ปืนใหญ่แตกตัว
Weapon.Name.100631	ดาวหาง
Weapon.Name.100632	ดาวหาง
Weapon.Name.100633	ดาวหาง
Weapon.Name.100634	ดาวหาง
Weapon.Name.100641	ธนูสายฟ้า
Weapon.Name.100642	ธนูสายฟ้า
Weapon.Name.100643	ธนูสายฟ้า
Weapon.Name.100644	ธนูสายฟ้า
Weapon.Name.100651	สายฟ้ากระโดด
Weapon.Name.100652	สายฟ้ากระโดด
Weapon.Name.100653	สายฟ้ากระโดด
Weapon.Name.100654	สายฟ้ากระโดด
Weapon.Name.100661	ปืนใหญ่ดอกไม้
Weapon.Name.100662	ปืนใหญ่ดอกไม้
Weapon.Name.100663	ปืนใหญ่ดอกไม้
Weapon.Name.100664	ปืนใหญ่ดอกไม้
Weapon.Name.100671	ธนูล่าเทพ
Weapon.Name.100672	ธนูล่าเทพ
Weapon.Name.100673	ธนูล่าเทพ
Weapon.Name.100674	ธนูล่าเทพ
Weapon.Name.100684	ใจสิงห์
Weapon.Name.100691	ผู้รักษาสันติ
Weapon.Name.100692	ผู้รักษาสันติ
Weapon.Name.100693	ผู้รักษาสันติ
Weapon.Name.100694	ผู้รักษาสันติ
Weapon.Name.100711	เจ็ดใบ
Weapon.Name.100712	เจ็ดใบ
Weapon.Name.100713	เจ็ดใบ
Weapon.Name.100714	เจ็ดใบ
Weapon.Name.100715	เจ็ดใบ
Weapon.Name.100721	ศรัทธา
Weapon.Name.100722	ศรัทธา
Weapon.Name.100723	ศรัทธา
Weapon.Name.100724	ศรัทธา
Weapon.Name.100725	ศรัทธา
Weapon.Name.100731	ป้อมปราการ
Weapon.Name.100732	ป้อมปราการ
Weapon.Name.100733	ป้อมปราการ
Weapon.Name.100734	ป้อมปราการ
Weapon.Name.100735	ป้อมปราการ
Weapon.Name.100741	เรลกัน
Weapon.Name.100742	เรลกัน
Weapon.Name.100743	เรลกัน
