# key	thai
WeaponParts.Name.110141	ระเบิดบัวแดง
WeaponParts.Name.110142	ระเบิดบัวแดง
WeaponParts.Name.110143	ระเบิดบัวแดง
WeaponParts.Name.110144	ระเบิดบัวแดง
WeaponParts.Name.110151	ระบบจุดระเบิด
WeaponParts.Name.110152	ระบบจุดระเบิด
WeaponParts.Name.110153	ระบบจุดระเบิด
WeaponParts.Name.110154	ระบบจุดระเบิด
WeaponParts.Name.110161	หายนะ
WeaponParts.Name.110162	หายนะ
WeaponParts.Name.110163	หายนะ
WeaponParts.Name.110164	หายนะ
WeaponParts.Name.110171	แตกเป็นเส้นใย
WeaponParts.Name.110172	แตกเป็นเส้นใย
WeaponParts.Name.110173	แตกเป็นเส้นใย
WeaponParts.Name.110174	แตกเป็นเส้นใย
WeaponParts.Name.110181	เติบโตคลั่ง
WeaponParts.Name.110182	เติบโตคลั่ง
WeaponParts.Name.110183	เติบโตคลั่ง
WeaponParts.Name.110184	เติบโตคลั่ง
WeaponParts.Name.110191	โรคระบาดลุกลาม
WeaponParts.Name.110192	โรคระบาดลุกลาม
WeaponParts.Name.110193	โรคระบาดลุกลาม
WeaponParts.Name.110194	โรคระบาดลุกลาม
WeaponParts.Name.110201	เงียบสงัด
WeaponParts.Name.110202	เงียบสงัด
WeaponParts.Name.110203	เงียบสงัด
WeaponParts.Name.110204	เงียบสงัด
WeaponParts.Name.110251	มรณะคืบคลาน
WeaponParts.Name.110252	มรณะคืบคลาน
WeaponParts.Name.110253	มรณะคืบคลาน
WeaponParts.Name.110254	มรณะคืบคลาน
WeaponParts.Name.110261	แดนร้าง
WeaponParts.Name.110262	แดนร้าง
WeaponParts.Name.110263	แดนร้าง
WeaponParts.Name.110264	แดนร้าง
WeaponParts.Name.110281	โอเวอร์โหลด
WeaponParts.Name.110282	โอเวอร์โหลด
WeaponParts.Name.110283	โอเวอร์โหลด
WeaponParts.Name.110284	โอเวอร์โหลด
WeaponParts.Name.110291	นักยิงสายฟ้า
WeaponParts.Name.110292	นักยิงสายฟ้า
WeaponParts.Name.110293	นักยิงสายฟ้า
WeaponParts.Name.110294	นักยิงสายฟ้า
WeaponParts.Name.110301	ประกายรัว
WeaponParts.Name.110302	ประกายรัว
WeaponParts.Name.110303	ประกายรัว
WeaponParts.Name.110304	ประกายรัว
WeaponParts.Name.110311	ชิ้นหล่อไฟฟ้า
WeaponParts.Name.110312	ชิ้นหล่อไฟฟ้า
WeaponParts.Name.110313	ชิ้นหล่อไฟฟ้า
WeaponParts.Name.110314	ชิ้นหล่อไฟฟ้า
WeaponParts.Name.110321	หัวตะปูล่อฟ้า
WeaponParts.Name.110322	หัวตะปูล่อฟ้า
WeaponParts.Name.110323	หัวตะปูล่อฟ้า
WeaponParts.Name.110324	หัวตะปูล่อฟ้า
WeaponParts.Name.110331	หัวลูกธนูไฟฟ้า
WeaponParts.Name.110332	หัวลูกธนูไฟฟ้า
WeaponParts.Name.110333	หัวลูกธนูไฟฟ้า
WeaponParts.Name.110334	หัวลูกธนูไฟฟ้า
WeaponParts.Name.110341	ลำกล้องไฟฟ้า
WeaponParts.Name.110342	ลำกล้องไฟฟ้า
WeaponParts.Name.110343	ลำกล้องไฟฟ้า
WeaponParts.Name.110344	ลำกล้องไฟฟ้า
WeaponParts.Name.110351	ฟีนิกซ์
WeaponParts.Name.110352	ฟีนิกซ์
WeaponParts.Name.110353	ฟีนิกซ์
WeaponParts.Name.110354	ฟีนิกซ์
WeaponParts.Name.110361	แรงกระตุ้นเพลิง
WeaponParts.Name.110362	แรงกระตุ้นเพลิง
WeaponParts.Name.110363	แรงกระตุ้นเพลิง
WeaponParts.Name.110364	แรงกระตุ้นเพลิง
WeaponParts.Name.110371	เร่งความร้อน
WeaponParts.Name.110372	เร่งความร้อน
WeaponParts.Name.110373	เร่งความร้อน
WeaponParts.Name.110374	เร่งความร้อน
WeaponParts.Name.110381	ลูกแก้วเพลิง
WeaponParts.Name.110382	ลูกแก้วเพลิง
WeaponParts.Name.110383	ลูกแก้วเพลิง
WeaponParts.Name.110384	ลูกแก้วเพลิง
WeaponParts.Name.110391	ลูกดอกเพลิง
WeaponParts.Name.110392	ลูกดอกเพลิง
WeaponParts.Name.110393	ลูกดอกเพลิง
WeaponParts.Name.110394	ลูกดอกเพลิง
WeaponParts.Name.110401	เพลิงโกลาหล
WeaponParts.Name.110402	เพลิงโกลาหล
WeaponParts.Name.110403	เพลิงโกลาหล
WeaponParts.Name.110404	เพลิงโกลาหล
WeaponParts.Name.110411	ร่างจำลองจอมมืด
WeaponParts.Name.110412	ร่างจำลองจอมมืด
WeaponParts.Name.110413	ร่างจำลองจอมมืด
WeaponParts.Name.110414	ร่างจำลองจอมมืด
WeaponParts.Name.110421	นักล่าสมบัติ
WeaponParts.Name.110422	นักล่าสมบัติ
