# key	thai
GameUI.Login.1	เล่นคนเดียว
GameUI.Login.2	เล่นหลายคน
GameUI.Login.3	เลือกเซฟ
GameUI.Login.4	ตั้งค่า
GameUI.Login.5	ออกจากเกม
GameUI.Setting.Title.1	ทั่วไป
GameUI.Setting.Title.2	ภาพ
GameUI.Setting.Title.3	คีย์บอร์ด/เมาส์
GameUI.Setting.Title.4	จอย
GameUI.Setting.Rule.1	ภาษา
GameUI.Setting.Rule.2	เสียงรวม
GameUI.Setting.Rule.3	เพลง
GameUI.Setting.Rule.4	เสียงเอฟเฟกต์
GameUI.Setting.Rule.5	เสียงพากย์
GameUI.Setting.Rule.6	ซ่อนเอฟเฟกต์
GameUI.Setting.Frame.1	ตั้งค่าภาพ
GameUI.Setting.Frame.2	เต็มจอ
GameUI.Setting.Frame.3	หน้าต่าง
GameUI.Setting.Frame.4	ไร้ขอบ
GameUI.Setting.Frame.5	ความละเอียด
GameUI.Setting.Frame.6	แสดงดาเมจ
GameUI.Setting.Frame.7	แสดงเลือด
GameUI.Setting.Frame.8	แรงสั่นจอ
GameUI.Setting.Frame.9	ความสว่าง
GameUI.Setting.Frame.10	V-Sync
GameUI.Setting.Frame.11	คุณภาพเอฟเฟกต์
GameUI.Setting.Frame.12	ซ่อนเอฟเฟกต์ทั้งหมด
GameUI.Setting.Frame.13	คุณภาพต่ำ
GameUI.Setting.Frame.14	คุณภาพกลาง
GameUI.Setting.Frame.15	คุณภาพสูง
GameUI.Setting.Frame.16	สูงสุด
GameUI.Setting.Frame.17	ซ่อนเอฟเฟกต์เพื่อน
GameUI.Setting.Frame.18	รักษาเฟรมเรต
GameUI.Setting.Frame.19	คุณภาพเอฟเฟกต์เพื่อน
GameUI.Setting.Control.1	เดินขึ้น
GameUI.Setting.Control.2	เดินลง
GameUI.Setting.Control.3	เดินซ้าย
GameUI.Setting.Control.4	เดินขวา
GameUI.Setting.Control.5	ยิง
GameUI.Setting.Control.6	สกิลรบ
GameUI.Setting.Control.7	ท่าไม้ตาย
GameUI.Setting.Control.8	หลบ
GameUI.Setting.Control.9	รีโหลด
GameUI.Setting.Control.10	เก็บ/โต้ตอบ
GameUI.Setting.Control.11	แชร์
GameUI.Setting.Control.12	สลับอาวุธ
GameUI.Setting.Control.13	โหมดเล็ง
GameUI.Setting.Control.14	เล็งเอง
GameUI.Setting.Control.15	ช่วยเล็ง
GameUI.Setting.Control.16	เล็งอัตโนมัติ (ใกล้สุด)
GameUI.Setting.Control.17	จอยสั่น
GameUI.Setting.Control.18	เส้นช่วยเล็ง
GameUI.Setting.Control.19	เล็งอัตโนมัติ (บอสก่อน)
GameUI.Setting.1	รีเซ็ต
GameUI.Setting.2	ย้อนกลับ
